,0
0,Arkansas
1,California
2,Connecticut
3,Delaware
4,Florida
5,Idaho
6,Illinois
7,Indiana
8,Iowa
9,Kansas
10,Kentucky
11,Maine
12,Maryland
13,Massachusetts
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,New Hampshire
20,New Mexico
21,North Dakota
22,Oklahoma
23,Oregon
24,Pennsylvania
25,Rhode Island
26,South Dakota
27,Tennessee
28,Utah
29,Vermont
30,Virginia
31,Wisconsin
32,Wyoming
